J000	KMS-11
J730	kidney tubule cell female adult (80 years) and male adult (62 years)
J731	renal pelvis female embryo (89 days)
J732	CD4-positive, alpha-beta T cell female adult (33 years)
J733	heart left ventricle female embryo (101 day) and female embryo (103 days)
J734	skeletal muscle cell
J735	T-helper 2 cell
J736	kidney male embryo (85 days)
J737	tibial artery female adult (53 years)
J738	tongue male embryo (72 days)
J739	fibroblast of the aortic adventitia female
J740	caudate nucleus male adult (78 years)
J741	hematopoietic multipotent progenitor cell treated with interleukin-3 for 13 days, kit ligand for 13 days, hydrocortisone succinate for 13 days, erythropoietin for 13 days
J742	muscle of leg male embryo (96 days)
J743	muscle of leg male embryo (127 days)
J744	skeletal muscle myoblast
J745	22Rv1 treated with 10 nM 17β-hydroxy-5α-androstan-3-one for 4 hours
J746	SH-SY5Y
J747	adipose tissue male child (3 years)
J748	CWRU1 male
J749	islet precursor cell
J750	T-helper 17 cell
J751	retina embryo (125 days) and male embryo (103 days)
J752	skin of body female embryo (82 days)
J753	B cell female adult (43 years)
J754	right lung female embryo (107 days)
J755	cardiac fibroblast female
J756	placental basal plate male embryo (16 weeks)
J757	right lung female embryo (108 days)
J758	left lung female embryo (110 days)
J759	left lung female embryo (105 days)
J760	T47D treated with 10 nM 17β-estradiol for 30 minutes
J761	muscle of arm male embryo (120 days)
J762	kidney tubule cell female adult (80 years) treated with 5 μM cisplatin
J763	KBM-7
J764	frontal cortex female adult (67 years) and female adult (80 years)
J765	germinal center
J766	MCF-7 treated with 100 nM 17β-estradiol for 45 minutes
J767	stomach female embryo (147 days)
J768	muscle of leg female embryo (113 days)
J769	epithelial cell of prostate
J770	liver male child (3 years)
J771	brain embryo (112 days)
J772	embryonic facial prominence embryo (53 days) and embryo (58 days)
J773	muscle of arm female embryo (105 days)
J774	duodenal mucosa male adult (76 years)
J775	subcutaneous abdominal adipose tissue nuclear fraction female adult (25 years)
J776	subcutaneous adipose tissue male adult (54 years)
J777	dermis blood vessel endothelial cell male newborn
J778	heart embryo (59 days) and female embryo (76 days)
J779	left lung male embryo (91 day)
J780	lung male embryo (82 days)
J781	iPS-20b male adult (55 years)
J782	CD8-positive, alpha-beta T cell male adult (28 years)
J783	stomach female embryo (107 days)
J784	cerebellar cortex male adult (78 years) and male adult (84 years)
J785	dermis microvascular lymphatic vessel endothelial cell female
J786	smooth muscle cell of the pulmonary artery male adult (26 years) and male adult (28 years)
J787	left lung female embryo (117 days)
J788	mid-neurogenesis radial glial cells genetically modified using stable transfection NONE and originated from H9
J789	dermis lymphatic vessel endothelial cell female adult (45 years) and male child (6 years)
J790	brain female embryo (96 days)
J791	liver female child (6 years) and male adult (32 years)
J792	adrenal gland male embryo (108 days)
J793	amnion embryo (16 weeks)
J794	breast epithelium male adult (54 years)
J795	stomach male embryo (91 day)
J796	trophoblast cell embryo (22 weeks)
J797	rectal smooth muscle tissue female adult (50 years)
J798	iPS-NIHi7 female adult (85 years) originated from AG08395
J799	RWPE1
J800	fibroblast of pulmonary artery
J801	CD4-positive, alpha-beta memory T cell originated from blood cell
J802	muscle of leg male embryo (104 days)
J803	muscle of leg female embryo (115 days)
J804	dermis microvascular lymphatic vessel endothelial cell male
J805	naive B cell
J806	thymus female embryo (115 days)
J807	CD14-positive monocyte female adult (34 years)
J808	heart male embryo (110 days)
J809	psoas muscle male adult (27 years) and male adult (35 years)
J810	large intestine male embryo (115 days)
J811	liver female embryo (101 day) and female embryo (113 days)
J812	left lung female embryo (108 days)
J813	mononuclear cell male
J814	lung embryo (101 day)
J815	lung male embryo (103 days)
J816	duodenal mucosa male adult (59 years)
J817	camera-type eye female embryo (24 weeks)
J818	erythroblast male
J819	lung female embryo (96 days)
J820	right lung male embryo (105 days)
J821	non-pigmented ciliary epithelial cell
J822	RKO
J823	myotube originated from skeletal muscle myoblast
J824	MCF-7 treated with 100 nM estradiol for 1 hour
J825	stomach female embryo (121 day)
J826	muscle of arm male embryo (96 days)
J827	kidney female embryo (113 days)
J828	muscle of arm female embryo (115 days)
J829	NCI-H226
J830	heart female embryo (103 days)
J831	lower leg skin male adult (54 years)
J832	naive thymus-derived CD4-positive, alpha-beta T cell female adult (35 years)
J833	temporal lobe male adult (81 year)
J834	heart male embryo (96 days)
J835	brain male embryo (105 days)
J836	left kidney female embryo (59 days) and male embryo (91 day)
J837	adipose tissue female adult (30 years)
J838	brain male embryo (101 day)
J839	large intestine male embryo (91 day)
J840	Ishikawa treated with 10 nM estradiol for 1 hour
J841	globus pallidus male adult (78 years) and male adult (84 years)
J842	SK-N-DZ
J843	large intestine female embryo (120 days)
J844	hematopoietic multipotent progenitor cell male adult (25 years) treated with erythropoietin for 20 days, hydrocortisone succinate for 20 days, kit ligand for 20 days, interleukin-3 for 20 days
J845	spinal cord male embryo (96 days)
J846	neuroepithelial stem cell genetically modified using stable transfection NONE and originated from H9
J847	ovary female embryo
J848	foreskin keratinocyte male newborn (2-4 days) treated with 1.2 mM calcium for 5.5 days
J849	renal cortex interstitium female embryo (103 days)
J850	umbilical cord embryo (59 days) and male embryo (76 days)
J851	iPS DF 4.7 male newborn
J852	heart male embryo (72 days) and male embryo (76 days)
J853	heart right ventricle female embryo (101 day) and female embryo (103 days)
J854	T47D treated with 100 nM genistein for 1 hour
J855	Ishikawa treated with 0.02% dimethyl sulfoxide for 1 hour
J856	GM13977
J857	renal cortex interstitium male embryo (127 days)
J858	renal cortex interstitium male embryo (97 days)
J859	retina female embryo (89 days)
J860	MCF 10A
J861	Ishikawa treated with 600 nM afimoxifene for 30 minutes
J862	stomach male embryo (127 days)
J863	right kidney female embryo (107 days)
J864	umbilical cord male embryo (20 weeks) and male embryo (31 week)
J865	luminal epithelial cell of mammary gland female adult (33 years)
J866	bronchial epithelial cell female adult (40 years) and male adult (68 years)
J867	22Rv1
J868	Ishikawa treated with 10 nM 17β-estradiol for 30 minutes
J869	Ammon's horn male adult (84 years)
J870	right kidney male embryo (115 days)
J871	MCF 10A treated with 1 μM tamoxifen for 24 hours
J872	lung microvascular endothelial cell female adult (55 years) and male adult (63 years)
J873	cardiac fibroblast female embryo (94 days) and female embryo (98 days)
J874	GM18507
J875	heart male child (3 years)
J876	lung female embryo (76 days)
J877	muscle of leg male embryo (101 day)
J878	cardiac fibroblast
J879	bladder microvascular endothelial cell male adult (46 years) and male adult (60 years)
J880	G401
J881	fibroblast of lung female adult (83 years) and male adult (23 years)
J882	pons male adult (78 years)
J883	common myeloid progenitor, CD34-positive male
J884	lung female embryo (85 days)
J885	pulmonary artery endothelial cell female
J886	GM04504
J887	smooth muscle cell of trachea male adult (28 years) and male adult (56 years)
J888	hematopoietic multipotent progenitor cell treated with interleukin-3 for 8 days, kit ligand for 8 days, hydrocortisone succinate for 8 days, erythropoietin for 8 days
J889	kidney female embryo (121 day)
J890	large intestine female embryo (108 days)
J891	forelimb muscle female embryo (108 days)
J892	thymus female embryo (98 days)
J893	left lung male embryo (105 days)
J894	AG20443
J895	lung female embryo (108 days)
J896	omental fat pad female adult (53 years)
J897	GM19240
J898	arm bone male embryo (81 day)
J899	small intestine female embryo (98 days)
J900	small intestine female embryo (91 day)
J901	muscle of arm male embryo (101 day)
J902	small intestine female embryo (107 days)
J903	left renal cortex interstitium male embryo (105 days)
J904	breast epithelium male adult (37 years)
J905	Parathyroid adenoma male adult (65 years)
J906	trophoblast cell embryo (39 weeks) and embryo (40 weeks)
J907	BE2C
J908	left kidney female embryo (107 days)
J909	cerebellum male adult (20 years)
J910	8988T
J911	adrenal gland male embryo (97 days)
J912	K562 G1 phase
J913	left kidney female embryo (147 days)
J914	hematopoietic multipotent progenitor cell treated with interleukin-3 for 18 days, kit ligand for 18 days, hydrocortisone succinate for 18 days, erythropoietin for 18 days
J915	NAMALWA treated with Sendai virus for 2 hours
J916	brain female embryo (120 days)
J917	COLO829
J918	muscle of back male embryo (91 day)
J919	EL
J920	fibroblast of peridontal ligament male
J921	GM13976
J922	common myeloid progenitor, CD34-positive male adult
J923	inferior parietal cortex male adult (84 years)
J924	stomach male embryo (58 days) and male embryo (76 days)
J925	right kidney female embryo (98 days)
J926	right renal pelvis male embryo (105 days)
J927	K562 G2 phase
J928	CD1c-positive myeloid dendritic cell
J929	urinary bladder male embryo (76 days)
J930	kidney male embryo (105 days)
J931	peripheral blood mononuclear cell male adult (28 years)
J932	natural killer cell female adult (34 years)
J933	T47D
J934	kidney female embryo (108 days)
J935	left kidney female embryo (87 days)
J936	retinal pigment epithelial cell
J937	renal pelvis male embryo (91 day)
J938	Ishikawa treated with 100 nM bisphenol A for 1 hour
J939	occipital lobe male adult (84 years)
J940	stromal cell of bone marrow male
J941	dedifferentiated amniotic fluid mesenchymal stem cell
J942	L1-S8R
J943	trophoblast cell embryo (23 weeks)
J944	placenta male embryo (91 day)
J945	LNCAP treated with 10 nM 17β-hydroxy-5α-androstan-3-one for 4 hours
J946	regulatory T cell male adult (28 years)
J947	T-cell male adult (36 years)
J948	muscle of back female embryo (85 days)
J949	ELR
J950	fibroblast of skin of abdomen male embryo (97 days)
J951	adrenal gland male embryo (85 days)
J952	mammary epithelial cell female and female adult (50 years)
J953	brain pericyte
J954	kidney female embryo (105 days)
J955	muscle of arm female embryo (120 days)
J956	Raji
J957	renal cell carcinoma
J958	muscle of back male embryo (97 days)
J959	renal pelvis female embryo (96 days)
J960	K562 treated with 1 μM vorinostat for 72 hours
J961	K562 treated with 0.05% dimethyl sulfoxide for 72 hours
J962	colon epithelial cell line
J963	RCC 7860
J964	left lung female embryo (107 days)
J965	limb embryo (53 days) and embryo (56 days)
J966	MCF-7 treated with 10 mM lactate for 24 hours
J967	B cell female adult (34 years)
J968	bronchial smooth muscle cell male adult (52 years) and male adult (59 years)
J969	muscle of back female embryo (98 days)
J970	HuH-7.5
J971	placenta embryo (53 days)
J972	hematopoietic multipotent progenitor cell treated with interleukin-3 for 4 days, kit ligand for 4 days, hydrocortisone succinate for 4 days, erythropoietin for 4 days
J973	muscle of arm male embryo (127 days)
J974	dermis blood vessel endothelial cell female child (16 years) and male child (13 years)
J975	kidney female embryo (76 days) and male embryo (76 days)
J976	A549 treated with 50 nM dexamethasone for 1 hour
J977	CD8-positive, alpha-beta T cell female adult (34 years)
J978	renal pelvis female embryo (105 days)
J979	LNCaP clone FGC treated with 1 nM 17β-hydroxy-17-methylestra-4,9,11-trien-3-one for 12 hours
J980	dermis blood vessel endothelial cell female adult
J981	muscle of back male embryo (104 days)
J982	muscle of back male embryo (105 days)
J983	placenta embryo (102 days)
J984	HuH-7
J985	SW480
J986	small intestine female embryo (110 days)
J987	renal cortex interstitium female embryo (120 days)
J988	common myeloid progenitor, CD34-positive male adult (49 years)
J989	cerebellum male adult (53 years)
J990	kidney male embryo (87 days)
J991	large intestine female embryo (110 days)
J992	AG08395
J993	glomerular visceral epithelial cell child (3 years)
J994	muscle of back male embryo (127 days)
J995	left kidney male embryo (96 days)
J996	renal cortex interstitium male embryo (91 day)
J997	peripheral blood mononuclear cell male adult (29 years)
J998	left lung male embryo (113 days)
J999	renal pelvis male embryo (113 days)
J1000	retina embryo (74 days) and embryo (85 days)
J1001	kidney embryo (80 days)
J1002	brain male embryo (104 days)
J1003	femur female embryo (98 days)
J1004	iris pigment epithelial cell
J1005	heart male adult (27 years) and male adult (35 years)
J1006	AG08396
J1007	testis male embryo
J1008	placenta female embryo (115 days)
J1009	left lung male embryo (96 days)
J1010	right lung female embryo (117 days)
J1011	brain male embryo (72 days) and male embryo (76 days)
J1012	smooth muscle cell of the umbilical artery female newborn and male newborn
J1013	placental basal plate embryo (16 weeks)
J1014	adrenal gland embryo (96 days)
J1015	EH
J1016	heart female embryo (105 days)
J1017	RPMI8226
J1018	putamen male adult (78 years)
J1019	Ishikawa treated with 0.02% ethanol for 1 hour
J1020	eye embryo (56 days) and male embryo (76 days)
J1021	midbrain male adult (78 years) and male adult (84 years)
J1022	hematopoietic multipotent progenitor cell treated with interleukin-3 for 11 day, kit ligand for 11 day, hydrocortisone succinate for 11 day, erythropoietin for 11 day
J1023	muscle of arm male embryo (104 days)
J1024	adrenal gland female embryo (108 days)
J1025	K562 genetically modified using stable transfection originated from K562
J1026	muscle of arm female embryo (98 days)
J1027	T-helper 1 cell
J1028	adrenal gland male embryo (101 day)
J1029	right lung male embryo (96 days)
J1030	astrocyte of the hippocampus
J1031	fibroblast of gingiva
J1032	thymus female embryo
J1033	stomach male embryo (108 days)
J1034	trophoblast cell embryo (17 weeks) and embryo (18 weeks)
J1035	right kidney male embryo (108 days)
J1036	T-helper 17 cell originated from blood cell
J1037	muscle of trunk female embryo (113 days)
J1038	iPS DF 19.7 male newborn
J1039	T-helper 1 cell female adult (26 years)
J1040	thymus male embryo (108 days)
J1041	common myeloid progenitor, CD34-positive female adult (50 years)
J1042	right kidney male embryo (87 days)
J1043	spinal cord female embryo (89 days)
J1044	heart female embryo (91 day)
J1045	left lung female embryo (98 days)
J1046	HAP-1
J1047	tongue female embryo (59 days) and female embryo (76 days)
J1048	GM03348
J1049	brain female embryo (85 days)
J1050	right renal cortex interstitium male embryo (120 days)
J1051	urothelium cell line
J1052	H9 G2 phase genetically modified using stable transfection
J1053	small intestine male embryo (87 days)
J1054	HK-2
J1055	urinary bladder female embryo (20 weeks)
J1056	T-helper 2 cell female adult (26 years)
J1057	heart left ventricle male adult (32 years)
J1058	HTR-8/SVneo
J1059	large intestine male embryo (105 days)
J1060	right lung female embryo (98 days)
J1061	T-helper 2 cell male adult (33 years)
J1062	large intestine female embryo (107 days)
J1063	left lung male embryo (115 days)
J1064	glomerular endothelial cell
J1065	WI38 genetically modified using stable transfection originated from WI38 treated with 20 nM afimoxifene for 72 hours
J1066	regulatory T cell female adult (35 years)
J1067	heart embryo (80 days)
J1068	trophoblast cell embryo (21 week)
J1069	amniotic stem cell
J1070	erythroblast embryo (16-19 weeks)
J1071	muscle of leg male embryo (105 days)
J1072	GM12874
J1073	muscle of arm female embryo (85 days)
